judul_lagu,validasi_sequence
A Blast of Wind,d2g fdf ece d2g fdf ece
A Moonlight Ramble,ecgc acgc ecgc    acgc ((3efg) ag fedc
Abbey,g ]!
Angeline The Baker,fe df/2g/2
Bag of Spuds,agbg agef
Bandon Bridge. Droi.cio.d-na-bandann.,f3a (gf)(ed)
Bank of Ireland,f3d e2fe
Barmaid,"!
g"
Beamish's Goat,e^def gfge
Bell Table,a3 b a2
Biddy is my Darling. 'si bri.gidin mo run.,d g z f efg
Bill Collin's,def a3 faa fab
Bill Ellis' Hornpipe,e>^de>c a>ga>e
Bird in the Bush,agef g2ga
Blackberry Blossom,bgaf gedg eaa^g a2
Bobby Casey's,eaab aged !
Boiled Goats' Milk,d/c/ gag fdc
Bold John O'Leary,(f/g/) agb afd g>gg gef
"Bouncing Boy, The an buacaill freapa.d.",g2 ge f2 fd
Brian Maguire,!
Brian the Brave,(ef) \ f2 (fe/d/) e2 (ed/c/)
Burn's Farewell,=f2e2 d2^cd
Buttercups and Daisies,b2 f>g f2 ba d'2 (g>a) g2 (f>e)
Buttermilk Mary,gee efg
Captain Kelly,egdg egdg
Captain O'Neill,d>(g {a}(3gfg)a2a2
Carolan's Draught,"!
fg"
Castle Island,]
Castlekelly,!
Charley the Prayermaster,d
Chicago,ecgc acgc cdef g2ed
Cliffs of Moher,eaf ged
Coalminer's,bagb a2ga
College Groves,f2df f2af
Collier's,!
Come In from the Rain,f2g a2f
Come To Dinner,aga bag
Come West along the Road,g2bg egdg
Condon's Frolics,efe e z d
Congress,eaab a3g eaag e2dg egdg egdg
Connie Walsh's,d3
Considine's Grove,efge  fgaf efge fddf
"Contradiction, The an frio.trai.dea.cd.",fagb afed ecea fdfa
Craig's Reel,g2fd (3efg fe
Cronin's,bee^d e2ga
Cronin's Favorite ro.ga ui .cronin.,bgga bgaf d^cde fefg
DERMOT Diarmuid,f3~g Ha2
Daniel O'Daly,d4 (d>e)
Dinners 2,\
Down By the Ocean Tide,d2de f2g2
Down the Glen,(3cd^d
Dublin Lasses,d
Duke of Leinster,agbg ageg dega bage
East Hill Breakdown,b3g
Eddie Curran's Monaghan Twig,]!
Enchanted Lady,"!
f2df efdf"
"Fair Maid of Cavan., The aindear .deas ua ca.bain., an",d4- d2 (de) d4-
Farewell to Connaught,!
Fasten the Leg In Her,(d/c/)
Father Jack Walsh,(d/e/) dfg a2c'
Fisherman's Lilt,"egg2 eaa2 !
egg2 agea"
Fishers's Hornpipe,"\
c/2d/2 \ \"
Fishing for Eels,gbg faf aga bge
Follow Me Down to Carlow,ec((3ccc eg^fa
"Fourpenny Bit, The an tuisduin.",d>g ((3gfg) b>g ((3gfg)
Fragrant Blossoms. bla.ta dea.g.bolai.g.,e2 c d2g
Freedom For Ireland,a2f2 g2e2
Frost is All Over No. 2,g3 efg !
Garden of Daisies,dcde fdec a2af defg
Gatehouse Maid,]!
Gillian's Apples,gbb bag
"Girl With the Laughing Eyes, The an cailin leis na miog.suile.",afbf afdf abag fd ((3efg)
Give Us a Drink of Water,d gfg efg a2d gfg bag fed efg afd g2 d ]
Gladstone,eg defd ceaf
Going To The Fair,((3aba)  ba  ((3gag) d2 bg ((3agf)   geef
Gorman's,"!
a3f defa ]!"
Grandfather's Pet,fgf {g}fed
Green Garters crioscosa glais.,d2 (fa) gece afge fdec
Green Groves of Erin,!
HIGGINS' BEST,acea ~c'2 (ba)
Have You Seen My Valentine? tog air ais an duille glan.,f4 b2
He Left  Us in Sorrow. d'fag se sinn .brona.c.,(a>g) (f(b/>a/))
Hick's Hornpipe,d>c
Higgins' Best,a2 a2 a2
How Much Has She Got?,g
How Paddy Was Fooled,f2 d2 ef
Humours of Bandon,dgg gfg ]!
Humours of California,(3def
Humours of Lisadell,dff2 dfbf
Humours of Scarriff,ecgc eaa2
Hunter's House,!
I AWOKE FROM MY DREAM Do dhuisigh me ua mo aisling,d3 d2 e2e efd
I Love You My Darling,(f3 g) (a>g)
I'M WEARY OF LIFE Taim cuirthadh dn saoghal,d3 (edc)
Is It the Priest You Want?,e {a}g2e e2e
Is the Big Man Within,!
Jackson's Cravat.,f
Jenny Pippin,dfaf bgaf
Jenny's Wedding banais sineidin.,((3.d.d.d) (fd) adfd ((3.d.d.d) (fd) adfd
Jenny's Welcome to Charlie,!
Jim Moore's Fancy,ac'ba geef
Jimmy's Return,e
"Jockey at the Fair, The An Riamanaige Ag An Aonac",afd afd
Jockey to the Fair,d2g d2c
John Brennan's,z
Johnny's Wedding,eg^fag2(ga)
Julia Delaney,cdef g2 (fg) cdef g2 (fg)
KITTY O'NEILL,(fef).g .f(edc)
Kelly the Rake,bag gfg
Kelsterne Gardens,b/2a/2g/2f/2 ec' b/2a/2g/2f/2 e/2d/2^c/2e/2
Kevin Keegan,de
Kilfenora,!
Kilkenny Races,d2 (3efg d2gf (3ece (3gag (3fdf (3aba
Kiss Me Darling.,g2e f2d
Kitty Goes a Milking,defg abag
Lady Anne Montgomery,fgaf efde
Lame Crowley,e2d efg def g2a
Larry Grogan,=f3 edc
Last House in Connaught,e
Let Us Be Drinking,(dg)g (~gf).g (abc') (bag)
Let Us Leave That As It Is,efg aba
"Liffey's Silvery Stream., The an a.main lonn.ra.c liffi.",fd3 z2
Lilting Fisherman,fgf f2e
Limerick Junction,(e>d) c>de>f g>ec>e ]
Limestone Rock,e2dg e2dg
Lodge Road,e2e2 f2fe
Lord Mayo,d2 (ga) g2 (ag)
Lucy Campbell,g3e f3e
Luggelaw,e2 g2 {f}e>d
Maids of Castlebar,a2ga fdde gebe geef
Maids of Tullyknockbrine,egfg egfe
Master Crowley's No. 2,e3c dfed
McClellan's,g3 bag
McFarley's,fgab afde
"Merry Old Maid, The",(e/f/) g2e efg
Miss McDonald,g2{a}gf gbag
Miss Patterson,ebgb  f2 ef fdad  bdad ]
Miss Thornton's,egdg egdg
Mixing the Punch,d2d def
Monday Morning maidin dia luain.,fgag bgaf
Mr. Grumguffenhoff. mai.gisdir grumguffenoff.,(.ce2)z2 (c/d/) agf ed^c
Mug of Brown Ale,gfg age
Mulhaire's,a2fd adfd
Mulqueen's,"cdef g2fg !
e3^d efe=d aff2 gece"
Murphy's Hornpipe,\
My Darling Asleep.,gfg eaa
My Love is Fair and Handsome,dega bgab gfef g3a ]
NORAH THE PRIDE OF KILDARE Nora an blath g-Cille-Dara,d2
New Policeman,!
"New Potatoes, The na potataoi nua.d.",bgaf gfed
Nolan the Soldier,(d/2e/2) gfg e2 (d/2e/2)
Nora O'Neill,efge      agfe fagf  ec  c2 ]
O Arranmore Loved Arranmore,c \
O'Reilly's Favorite,e
O'Rourke's,"eage d2ef !
g2fg e3f"
Ode to Whiskey,"!
e"
Old Joe's,"!
e f3 e3"
"Old Woman Lamenting Her Purse., The an sean .bean ag caoinea.d a sporan.",cde (f2 (e/f/))
Opera,]!
Over the Bog Road,"!
gede g3a"
Owen Malone,ge^c de=c
Paddy Clancy's,dcd ede
Paddy Murphy's Wife,fade fddc
Paddy Murphy's Wife bean .paidin ui mur.ca.da.,fada fdaf afge fdec
Paddy Ryan's Nightmare,"!
dgg2 dgbg"
Palm Sunday,~a^ga e^fg
Petticoat Loose,edd d2^f
Piper's Despair,efga bfaf
Plains of Boyle,"!
fg"
Planxty Drury,"f2g afd !
d2d ded"
Put on your Clothes,gag ged aba age cee e2d
Rainy Day,cdef gedc
Rakish Paddy paidin an racaire.,afge fdec
Rambling Rake,"efec d2g2 !
bagf efga"
Richard Dwyer's,!
Road to Recovery,!
Roaring Mary,!
Robin Redbreast,eaag efge
Rose in the Heather,faa afd gfg fed
Rosie Finn's,f2a abg
SWEET KATHLEEN MACHREE Chaitilin shileas mo chroidhe,ece Hg2 f \
Sally Gardens,gb/2g/2 a/2g/2e/2d/2
Sandmount,"!
eaa^g a3=g"
Scatter the Mud,d fag fed !
Scholar,dfaf gfeg !
Sean Sa Ceo,a2c'a e3f g2bg agbg
Shaskeen,dggf g2fg
She's as False as She's Fair,(f<d)g f2 d
Shearing the Sheep ag .bearra.d na caoire.,e2 (ae) fefb
Sheehan's Reel,gbag fdde
Shepton Reel,"\
d"
Sit under My Protection,ef g3 f
Sixpenny Money,"dfd ede !
f3 g3"
Skipping Through the Daisies. ag-foileacd tri na noinini.b.,e<d z z2 d
Sligo Maid,!
Smash The Windows,f2(fd)    gece d2dd   d2
South Wind,d4 c2
Spike Island Lasses,"!
defg a3f"
Strike the Gay Harp,def afa def def !
Swallow's Tail,!
Sweet Biddy of Ballyvourney,dfgab2(ag)
Swift from the Covert,d
THE BOLD SOLDIER BOY,d2 cd e2 ef \ b2 af
THE BRAVE VOLUNTEERS,Tf2 e{fe}d
THE PARTING GLASS,e2a>f =gf(ed) (cd)(ec) Hd2(c>d)
THE PEACE OF THE VALLEY,]
THE ROCKY MOORLAND Riasc na carraige,f2 dc d=e^f2
THE SEIGE OF ROCHELLE,e6 (fe)
THE WIDOW'S DAUGHTER,(gfg).a (bag).f
Tady's Wattle,g2 ((3aga) bggd
Tailor's Twist,(3gag (3fgf egfe
Take Your Choice,g2(ba) gddg efga (bg)g2
Tea in the Morning,]
Tenpenny Bit,gf
The Absent Minded Man,d
The Bantry Lasses,fgab c'2(d'c')
The Bard of Armagh,ea>g ded d>(ef/2d/2)
The Barndoor Jig.,aea aea
The Belfast Lasses,]
The Blooming Meadows. 1st Setting.,f2g afd
The Boys in the Gap,g=e^f gab
The Boys of Ballysimon,(dc) \
The Boys of the West,g
The Bride of Malahide,c2 d2 ef
The Brown Haired Boy,(f>g) (af)(ed)
The Brown Mallet,ed z (3d/e/f/
The Charming Young Widow,dfa afd
The Comely Maiden,d2(a^g) afdf bgaf gfed
The Connachman,fdc dga fdf g2(g/a/)
The Connachtman's Rambles,fbb faa
The Cook in the Kitchen,d2 e f2 g
The Croppy Tailor,d4 (cd) c4 (cd) a4
The Curragh Races,(3cdc ec gcec (3cdc ec gcec
The Ewe Reel,g2bg dgbg
The First of March,fdad fdfa ]
The Five Leaved Clover,eage dfed geae gede eaged2(cd)
The Flax In Bloom,]
The Flitch of Bacon,def gag
The Girl With the Blue Dress on,d
The Glens of Mayo,e fe^d e2g
The Gobby O,e2f g3
The Grey Daylight,(3ddd (fd) gdfd
The Groves of Blackpool,c e>de fdc
The Happy Days of Youth,edef gfed
The Hornless Cow,afdf gfge ]
The Humors of Ballinacarrig,{f}e^def {a}gfge
The Humors of Castle of Comer.,efg f2e
The Humors of Enniskean,agfed2g-a
The Humours of Passage.,f2 d d2 f
The Kerry Cobbler,d>ed fga d>ed fga
The Lark in the Morning,(c/d/)
The Macroom Lasses,agaf eac'a
The Maid That Dare Not Tell,f)(de)(g f)(de)(f
The Mantle So Green,g2 f2 e2
The Milliner's Daughter,dg ({a}(3gfg bgaf dcde fefg
The Monaghan Jig,Tg2e efe
The Monks of the Screw,a>gf gfe
The Mount in Lark,d>g (3ggg a>g (3ggg
The Mourne Mountains,dggag2(ed) dega bagf eaaba2(ge)
The Old Horned Sheep,z
The Old Pensioner,"(3ddd (fd)
 cdec defd cdec ]"
The Rakes of Clonmel.,aea aed
The Rambler's Rest,eaaf    gfef
The Redhaired Boy,efec d2(cd)
The Sailor's Jacket,defg afge ea{b}ag edd2
